ckmer63_9213	0	86.49	13906	13073	0.0	 909	492	1	835	835	844
ckmer63_11611	0	83.85	1620	1306	5e-82	 296	160	2507	2824	3288	322
ckmer63_19513	0	90.49	9501	8971	0.0	 708	383	1	531	531	536
kmer59_5658241	0	92.89	5354	5158	2e-80	 287	155	4	200	200	197
kmer59_5774200	0	88.21	10767	10977	7e-70	 252	136	1	211	211	212
kmer59_5951333	0	93.51	2959	3189	1e-97	 344	186	1	231	231	231
kmer59_6018300	0	90.76	10303	10539	3e-89	 316	171	1	238	241	238
kmer59_6081648	0	82.93	15515	15359	9e-35	 135	73	1	157	251	164
kmer59_6159255	0	90.53	12341	12079	1e-98	 348	188	3	265	265	264
kmer59_6204335	0	87.88	1227	1065	2e-51	 191	103	111	273	274	165
kmer59_6225233	0	93.24	6527	6802	2e-116	 407	220	1	279	279	281
kmer59_6231453	0	94.64	8843	8564	9e-125	 435	235	1	280	280	280
kmer59_6244853	0	88.03	9310	9591	3e-94	 333	180	2	284	284	284
kmer59_6318188	0	92.67	12608	12337	6e-112	 392	212	27	299	303	273
kmer59_6354424	0	86.60	7279	7593	2e-97	 344	186	1	315	315	321
kmer59_6402444	0	91.04	13560	13226	3e-130	 453	245	1	335	335	335
kmer59_6425487	0	88.68	6702	6754	6e-13	63.9	34	123	174	347	53
kmer59_6429483	0	89.14	8395	8047	1e-124	 435	235	1	349	349	350
kmer59_6431307	0	93.12	11366	11713	2e-147	 510	276	3	350	350	349
kmer59_6440577	0	90.96	1438	1274	1e-59	 219	118	124	285	356	166
kmer59_6473195	0	89.47	2346	2697	2e-127	 444	240	19	374	377	361
kmer59_6478337	0	91.12	16285	15905	4e-149	 516	279	1	381	381	383
kmer59_6566533	0	88.89	14274	14736	2e-163	 564	305	1	459	459	468
kmer59_6572923	0	90.36	13922	14387	6e-178	 612	331	1	466	466	467
kmer59_6580044	0	80.43	6763	6546	1e-41	 159	86	205	428	474	230
kmer59_6600642	0	93.55	31399	31280	8e-48	 180	97	289	411	500	124
kmer59_6626462	0	91.12	7673	8201	0.0	 717	388	11	539	539	529
kmer59_6649214	0	100.00	24576	24548	6e-10	54.7	29	119	147	580	29
kmer59_6666876	0	88.24	10486	11101	0.0	 734	397	1	616	616	621
kmer59_6669740	0	90.00	6589	6541	1e-12	63.9	34	418	466	622	50
kmer59_6693286	0	84.98	1274	1544	5e-76	 274	148	332	602	678	273
kmer59_6711096	0	87.35	15358	14945	2e-135	 472	255	317	731	731	419
kmer59_6712768	0	92.01	10266	9536	0.0	1027	556	1	736	736	738
kmer59_6713704	0	90.23	13548	14279	0.0	 953	516	5	736	739	737
kmer59_6718764	0	88.59	14338	15111	0.0	 920	498	1	756	756	780
kmer59_6751021	0	100.00	24289	24316	3e-09	52.8	28	307	334	890	28
kmer59_6770505	0	84.58	22243	22442	5e-53	 198	107	1	200	1003	201
kmer63_5603588	0	90.74	6597	6545	5e-14	71.3	38	1732	1784	4176	54
kmer63_4844245	0	92.91	4951	5204	2e-105	 370	200	1	254	254	254
kmer63_5039503	0	91.84	143	436	2e-117	 411	222	3	296	297	294
kmer63_5401238	0	86.44	16480	16947	3e-147	 510	276	135	602	602	472
kmer63_5422448	0	78.85	25189	25650	5e-81	 291	157	157	651	651	506
kmer67_3274153	0	89.43	1289	1411	2e-40	 154	83	84	205	206	123
kmer67_3407139	0	100.00	31084	31057	8e-10	52.8	28	128	155	219	28
kmer67_3529382	0	91.91	22449	22215	4e-93	 329	178	1	235	235	235
kmer67_3607861	0	87.50	8908	9151	4e-78	 279	151	1	244	247	248
kmer67_3657023	0	88.59	16464	16282	7e-61	 222	120	73	255	255	184
kmer67_3901215	0	92.97	12964	13274	3e-130	 453	245	2	313	313	313
kmer67_4159420	0	87.72	6562	6731	9e-53	 196	106	349	517	517	171
kmer75_2159784	0	91.45	16301	16068	6e-91	 322	174	1	234	234	234
kmer75_2385044	0	90.71	12824	13090	7e-101	 355	192	1	267	274	269
kmer75_2609523	0	90.12	8162	8504	5e-128	 446	241	1	343	343	344
kmer75_2844668	0	92.10	12015	11396	0.0	 874	473	3	622	622	620
kmer75_2936922	0	92.04	24878	25276	5e-162	 560	303	624	1022	1022	402
kmer79_1889894	0	85.77	12522	12786	3e-75	 270	146	13	268	268	267
kmer79_1932776	0	100.00	29777	29720	2e-26	 108	58	1	58	277	58
kmer79_2051979	0	93.20	5907	6215	8e-131	 455	246	1	309	309	309
kmer79_2165967	0	85.60	2777	2429	7e-102	 359	194	1	352	356	361
kmer79_2416225	0	91.34	7261	6739	0.0	 713	386	1	526	747	531
